iter_index,time,Tl_207,Pb_207,Pb_211,Bi_211,Bi_215,Po_211,Po_215,At_219,Rn_219,Fr_223,Ra_223,Ac_227,Th_227,Th_231,Pa_231,U_235
1410,1.41,189.483,3875.65,1177.63,74.1649,1.09876,0.000823994,7.84479e-06,0.000392513,0.00790067,147.691,1970.27,0,0,0,0,0
1420,1.42,187.347,3892.12,1164.25,73.3231,1.04041,0.000814641,7.62177e-06,0.000385163,0.00791156,144.925,1972.99,0,0,0,0,0
1430,1.43,185.234,3908.4,1151.02,72.4907,0.985164,0.000805393,7.41079e-06,0.00037795,0.00792224,142.211,1975.65,0,0,0,0,0
1440,1.44,183.144,3924.5,1137.94,71.6676,0.932853,0.000796248,7.2112e-06,0.000370872,0.00793272,139.548,1978.27,0,0,0,0,0
1450,1.45,181.077,3940.41,1125,70.8537,0.883326,0.000787205,7.02238e-06,0.000363927,0.007943,136.935,1980.83,0,0,0,0,0
1460,1.46,179.032,3956.15,1112.21,70.0489,0.836434,0.000778264,6.84377e-06,0.000357112,0.00795308,134.37,1983.34,0,0,0,0,0
1470,1.47,177.01,3971.71,1099.56,69.2531,0.792037,0.000769422,6.67481e-06,0.000350425,0.00796297,131.854,1985.81,0,0,0,0,0
1480,1.48,175.009,3987.09,1087.06,68.4663,0.749999,0.00076068,6.51498e-06,0.000343863,0.00797266,129.385,1988.23,0,0,0,0,0
1490,1.49,173.03,4002.3,1074.7,67.6883,0.710198,0.000752036,6.36381e-06,0.000337423,0.00798218,126.962,1990.6,0,0,0,0,0
1500,1.5,171.073,4017.34,1062.48,66.919,0.672516,0.000743489,6.22083e-06,0.000331105,0.00799151,124.584,1992.93,0,0,0,0,0
1510,1.51,169.137,4032.2,1050.39,66.1584,0.636835,0.000735038,6.08559e-06,0.000324904,0.00800066,122.251,1995.21,0,0,0,0,0
1520,1.52,167.223,4046.9,1038.45,65.4063,0.603053,0.000726683,5.95768e-06,0.00031882,0.00800964,119.962,1997.45,0,0,0,0,0
1530,1.53,165.33,4061.43,1026.63,64.6627,0.571068,0.000718421,5.83672e-06,0.000312849,0.00801844,117.716,1999.65,0,0,0,0,0
1540,1.54,163.457,4075.8,1014.95,63.9275,0.540784,0.000710253,5.72232e-06,0.000306991,0.00802708,115.511,2001.8,0,0,0,0,0
1550,1.55,161.605,4090.01,1003.41,63.2005,0.512109,0.000702176,5.61413e-06,0.000301242,0.00803555,113.348,2003.91,0,0,0,0,0
1560,1.56,159.774,4104.05,991.992,62.4818,0.484959,0.000694191,5.51183e-06,0.000295601,0.00804386,111.225,2005.98,0,0,0,0,0
1570,1.57,157.963,4117.93,980.705,61.7712,0.459254,0.000686296,5.4151e-06,0.000290065,0.00805201,109.143,2008.02,0,0,0,0,0
1580,1.58,156.172,4131.66,969.547,61.0687,0.434915,0.000678491,5.32363e-06,0.000284633,0.00806,107.099,2010.01,0,0,0,0,0
1590,1.59,154.401,4145.23,958.515,60.374,0.411868,0.000670773,5.23714e-06,0.000279303,0.00806784,105.093,2011.96,0,0,0,0,0
1600,1.6,152.65,4158.65,947.608,59.6873,0.390048,0.000663143,5.15537e-06,0.000274073,0.00807552,103.125,2013.88,0,0,0,0,0
1610,1.61,150.918,4171.92,936.825,59.0083,0.369388,0.000655599,5.07807e-06,0.00026894,0.00808306,101.194,2015.76,0,0,0,0,0
1620,1.62,149.205,4185.03,926.164,58.337,0.349826,0.000648141,5.00499e-06,0.000263904,0.00809046,99.299,2017.6,0,0,0,0,0
1630,1.63,147.512,4198,915.625,57.6733,0.331302,0.000640767,4.93591e-06,0.000258962,0.00809771,97.4395,2019.41,0,0,0,0,0
1640,1.64,145.837,4210.82,905.205,57.0171,0.313764,0.000633477,4.87061e-06,0.000254113,0.00810482,95.6148,2021.19,0,0,0,0,0
1650,1.65,144.181,4223.49,894.904,56.3684,0.297158,0.000626269,4.80889e-06,0.000249354,0.0081118,93.8242,2022.93,0,0,0,0,0
1660,1.66,142.544,4236.02,884.72,55.727,0.281435,0.000619143,4.75055e-06,0.000244685,0.00811864,92.0672,2024.63,0,0,0,0,0
1670,1.67,140.925,4248.41,874.652,55.0929,0.266545,0.000612098,4.69541e-06,0.000240103,0.00812534,90.3431,2026.3,0,0,0,0,0
1680,1.68,139.325,4260.65,864.699,54.466,0.252448,0.000605134,4.64331e-06,0.000235606,0.00813192,88.6513,2027.94,0,0,0,0,0
1690,1.69,137.742,4272.76,854.858,53.8463,0.2391,0.000598248,4.59408e-06,0.000231194,0.00813837,86.9912,2029.55,0,0,0,0,0
1700,1.7,136.177,4284.73,845.13,53.2335,0.226461,0.00059144,4.54756e-06,0.000226865,0.0081447,85.3622,2031.13,0,0,0,0,0
1710,1.71,134.63,4296.56,835.513,52.6278,0.214492,0.00058471,4.5036e-06,0.000222616,0.0081509,83.7636,2032.68,0,0,0,0,0
1720,1.72,133.1,4308.26,826.005,52.0289,0.203159,0.000578057,4.46208e-06,0.000218448,0.00815699,82.195,2034.2,0,0,0,0,0
1730,1.73,131.587,4319.83,816.606,51.4369,0.192429,0.000571479,4.42285e-06,0.000214357,0.00816295,80.6558,2035.68,0,0,0,0,0
1740,1.74,130.091,4331.27,807.313,50.8516,0.182268,0.000564976,4.3858e-06,0.000210343,0.0081688,79.1454,2037.14,0,0,0,0,0
1750,1.75,128.613,4342.57,798.127,50.2729,0.172646,0.000558547,4.35079e-06,0.000206404,0.00817454,77.6633,2038.57,0,0,0,0,0
1760,1.76,127.15,4353.75,789.045,49.7008,0.163535,0.000552191,4.31774e-06,0.000202538,0.00818016,76.209,2039.98,0,0,0,0,0
1770,1.77,125.705,4364.8,780.067,49.1353,0.154908,0.000545907,4.28652e-06,0.000198746,0.00818568,74.7818,2041.35,0,0,0,0,0
